名称,発生場所,発生年月日,当事者種別,事故内容,所轄警察署,事故類型,地点経度,地点緯度
全事故,境港市渡町,2012/10/20,普通乗用×自転車,重傷事故,境港署,車両相互,133.21621388900,35.51910833330
全事故,境港市新屋町,2012/11/16,軽乗用×歩行者,死亡事故,境港署,人対車両,133.24588333300,35.51135555560
全事故,境港市上道町,2012/10/14,普通乗用×自転車,軽傷事故,境港署,車両相互,133.24052500000,35.53996666670
全事故,境港市中野町,2012/10/22,軽乗用×補助自転車,重傷事故,境港署,車両相互,133.24056111100,35.53444166670
全事故,境港市新屋町,2012/10/06,普通乗用×自転車,軽傷事故,境港署,車両相互,133.22965833300,35.51839722220
全事故,境港市芝町,2012/10/14,軽乗用貨物×軽乗用,軽傷事故,境港署,車両相互,133.21642222200,35.52999166670
全事故,境港市竹内町,2012/10/12,軽乗用×自転車,軽傷事故,境港署,車両相互,133.24149166700,35.52582222220
全事故,境港市三軒屋町,2012/10/02,普通乗用×軽乗用,軽傷事故,境港署,車両相互,133.23362500000,35.50573611110
全事故,境港市三軒屋町,2012/10/04,普通乗用×軽乗用,軽傷事故,境港署,車両相互,133.23353611100,35.50588611110
全事故,境港市小篠津町,2012/09/03,軽乗用×軽乗用,軽傷事故,境港署,車両相互,133.24477500000,35.50366944440
全事故,境港市財ノ木町,2012/09/01,軽乗用貨物×軽乗用×軽乗用,軽傷事故,境港署,車両相互,133.25543055600,35.50676666670
全事故,境港市上道町,2012/06/22,軽乗用×自転車,軽傷事故,境港署,車両相互,133.23956944400,35.54040277780
全事故,境港市外江町,2012/08/26,普通乗用×原付,軽傷事故,境港署,車両相互,133.20736111100,35.53148333330
全事故,境港市竹内町,2012/08/04,普通乗用×軽乗用,軽傷事故,境港署,車両相互,133.23898055600,35.51762500000
全事故,境港市福定町,2012/08/09,軽乗用×自転車,重傷事故,境港署,車両相互,133.24098333300,35.53013888890
全事故,境港市渡町,2012/08/10,軽乗用×自転車,重傷事故,境港署,車両相互,133.21267222200,35.52406388890
全事故,境港市竹内町,2012/08/01,軽乗用×軽乗用,軽傷事故,境港署,車両相互,133.24091666700,35.52441944440
全事故,境港市小篠津町,2012/08/04,普通乗用×軽乗用,軽傷事故,境港署,車両相互,133.24900277800,35.50596111110
全事故,境港市花町,2012/07/20,原付×自転車,軽傷事故,境港署,車両相互,133.24166944400,35.54671666670
全事故,境港市上道町,2012/08/02,軽乗用×自転車,軽傷事故,境港署,車両相互,133.24397777800,35.54200833330
全事故,境港市小篠津町,2012/06/26,軽乗用×軽乗用,軽傷事故,境港署,車両相互,133.24511111100,35.50240000000
全事故,境港市三軒屋町,2012/06/26,普通乗用×普通乗用×普通乗用,軽傷事故,境港署,車両相互,133.22903611100,35.50669166670
全事故,境港市幸神町,2012/07/19,普通乗用×軽乗用,軽傷事故,境港署,車両相互,133.24079722200,35.50481111110
全事故,境港市竹内団地,2012/07/05,軽乗用×軽乗用,軽傷事故,境港署,車両相互,133.25306944400,35.52235000000
全事故,境港市竹内団地,2012/06/26,普通乗用×普通乗用,軽傷事故,境港署,車両相互,133.25424444400,35.52000277780
全事故,境港市幸神町,2012/07/07,軽乗用貨物×軽乗用,軽傷事故,境港署,車両相互,133.24015833300,35.50523333330
全事故,境港市小篠津町,2012/07/01,中型貨物×軽乗用貨物,軽傷事故,境港署,車両相互,133.23598333300,35.50555555560
全事故,境港市渡町,2012/06/28,軽乗用×普通乗用,軽傷事故,境港署,車両相互,133.21394722200,35.52108888890
全事故,境港市竹内団地,2012/07/01,軽乗用×普通乗用×物件・車×歩行者・他×歩行者・他,重傷事故,境港署,車両相互,133.25423055600,35.52000555560
全事故,境港市幸神町,2012/06/17,軽乗用貨物×普通乗用,軽傷事故,境港署,車両相互,133.23818333300,35.50529166670
全事故,境港市中野町,2012/06/13,中型貨物×軽乗用,軽傷事故,境港署,車両相互,133.24320000000,35.53296111110
全事故,境港市竹内町,2012/05/14,軽乗用×普通乗用,軽傷事故,境港署,車両相互,133.24550000000,35.52395000000
全事故,境港市上道町,2012/05/24,軽乗用貨物×軽乗用,軽傷事故,境港署,車両相互,133.22289166700,35.53546111110
全事故,境港市花町,2012/03/14,対象外×歩行者,軽傷事故,境港署,人対車両,133.24271666700,35.54605833330
全事故,境港市竹内町,2012/05/24,軽乗用貨物×物件等,重傷事故,境港署,車両単独,133.24141666700,35.52309166670
全事故,境港市佐斐神町,2012/04/27,普通乗用×軽乗用貨物×軽乗用,軽傷事故,境港署,車両相互,133.25670555600,35.50525277780
全事故,境港市渡町,2012/05/22,軽乗用×自転車,重傷事故,境港署,車両相互,133.21528055600,35.52415833330
全事故,境港市佐斐神町,2012/05/05,普通乗用×軽乗用,軽傷事故,境港署,車両相互,133.25545555600,35.50446944440
全事故,境港市渡町,2012/05/07,軽乗用貨物×軽乗用,軽傷事故,境港署,車両相互,133.21722222200,35.51405555560
全事故,境港市森岡町,2012/04/12,軽乗用×普通乗用,軽傷事故,境港署,車両相互,133.22422222200,35.52081944440
全事故,境港市竹内町,2012/04/11,普通乗用×軽乗用,軽傷事故,境港署,車両相互,133.24671111100,35.52159166670
全事故,境港市佐斐神町,2012/04/04,普通乗用×歩行者,重傷事故,境港署,人対車両,133.25830833300,35.50341111110
全事故,境港市竹内町,2012/03/26,軽乗用×自転車,重傷事故,境港署,車両相互,133.24631666700,35.52206944440
全事故,境港市渡町,2012/03/28,軽乗用×歩行者,死亡事故,境港署,人対車両,133.21691388900,35.51923611110
全事故,境港市幸神町,2012/02/17,軽乗用貨物×普通乗用,軽傷事故,境港署,車両相互,133.23895833300,35.50892777780
全事故,境港市渡町,2012/02/14,軽乗用×普通乗用,軽傷事故,境港署,車両相互,133.21403888900,35.52077777780
全事故,境港市外江町,2012/03/01,軽乗用×普通乗用,軽傷事故,境港署,車両相互,133.21326666700,35.53616111110
全事故,境港市外江町,2012/02/27,普通乗用×軽乗用,軽傷事故,境港署,車両相互,133.20606111100,35.52813611110
全事故,境港市渡町,2012/02/23,軽乗用貨物×軽乗用,軽傷事故,境港署,車両相互,133.21565277800,35.51677500000
全事故,境港市渡町,2012/01/26,軽乗用貨物×普通乗用,軽傷事故,境港署,車両相互,133.20375000000,35.52210555550
全事故,境港市竹内町,2012/02/14,軽乗用貨物×軽乗用,軽傷事故,境港署,車両相互,133.24260833300,35.52325277780
全事故,境港市誠道町,2012/02/02,軽乗用×軽乗用,軽傷事故,境港署,車両相互,133.23394166700,35.51765000000
全事故,境港市森岡町,2012/01/25,普通乗用×軽乗用,軽傷事故,境港署,車両相互,133.22384166700,35.52078611110
全事故,境港市森岡町,2012/01/11,軽乗用貨物×軽乗用,重傷事故,境港署,車両相互,133.22286111100,35.52061111110
全事故,境港市元町,2011/12/19,軽乗用貨物×歩行者,軽傷事故,境港署,人対車両,133.23335555600,35.54451111110
全事故,境港市渡町,2012/01/18,普通乗用×軽乗用,軽傷事故,境港署,車両相互,133.21636388900,35.51521666670
全事故,境港市高松町,2012/01/04,軽乗用×普通乗用,軽傷事故,境港署,車両相互,133.24910833300,35.51656944440
全事故,日吉津村大字日吉津,2012/05/17,普通乗用×普通乗用,重傷事故,米子署,車両相互,133.38305833300,35.44707777780
全事故,米子市夜見町,2012/12/14,普通乗用×軽乗用,軽傷事故,米子署,車両相互,133.30549444400,35.46664444440
全事故,米子市角盤町二丁目,2012/12/21,普通乗用×普通乗用,軽傷事故,米子署,車両相互,133.33280000000,35.43225555560
全事故,米子市上福原七丁目,2012/12/16,軽乗用×普通乗用,軽傷事故,米子署,車両相互,133.35260555600,35.45260000000
全事故,米子市三本松二丁目,2012/11/23,普通乗用×歩行者,軽傷事故,米子署,人対車両,133.32283055600,35.44101111110
全事故,米子市東福原七丁目,2012/11/02,軽乗用貨物×普通乗用,軽傷事故,米子署,車両相互,133.35107500000,35.44783611110
全事故,南部町福成,2012/12/26,軽乗用貨物×軽乗用×軽乗用,軽傷事故,米子署,車両相互,133.33256944400,35.36475000000
全事故,米子市昭和町,2012/11/17,軽乗用×普通乗用,軽傷事故,米子署,車両相互,133.34261666700,35.42623888890
全事故,米子市道笑町四丁目,2012/12/20,普通乗用×軽乗用,軽傷事故,米子署,車両相互,133.34487777800,35.42456944440
全事故,米子市久米町,2012/12/25,軽乗用×普通乗用,軽傷事故,米子署,車両相互,133.32547222200,35.42335277780
全事故,米子市西福原六丁目,2012/12/22,軽乗用貨物×軽乗用,軽傷事故,米子署,車両相互,133.34166111100,35.44818611110
全事故,米子市安倍,2012/12/25,普通乗用×軽乗用,軽傷事故,米子署,車両相互,133.31109722200,35.44941388890
全事故,米子市東福原八丁目,2012/11/27,軽乗用貨物×歩行者,軽傷事故,米子署,人対車両,133.34973888900,35.45302500000
全事故,米子市角盤町四丁目,2012/12/27,中型貨物×自転車,軽傷事故,米子署,車両相互,133.32833888900,35.43707500000
全事故,米子市皆生新田一丁目,2012/12/14,軽乗用×軽乗用,軽傷事故,米子署,車両相互,133.36503611100,35.44993888890
全事故,米子市夜見町,2012/12/20,軽乗用貨物×軽乗用貨物,軽傷事故,米子署,車両相互,133.29653611100,35.47039166670
全事故,米子市東福原１丁目,2012/12/15,普通乗用×普通乗用,軽傷事故,米子署,車両相互,133.34123055600,35.43888333330
全事故,米子市大谷町,2012/11/23,普通貨物×物件等×普通乗用,軽傷事故,米子署,車両単独,133.33455555600,35.41806111110
全事故,米子市西福原二丁目,2012/12/18,軽乗用貨物×普通乗用,軽傷事故,米子署,車両相互,133.33900833300,35.44250277780
全事故,米子市陰田町,2012/12/15,普通乗用×普通貨物,軽傷事故,米子署,車両相互,133.32161666700,35.41370000000
全事故,米子市末広町,2012/12/15,普通乗用×普通乗用,軽傷事故,米子署,車両相互,133.33455833300,35.42231111110
全事故,米子市両三柳,2012/12/11,軽乗用×軽乗用,軽傷事故,米子署,車両相互,133.33106388900,35.45181388890
全事故,米子市淀江町西原,2012/12/07,軽乗用×軽乗用,重傷事故,米子署,車両相互,133.41650277800,35.45258055560
全事故,米子市夜見町,2012/12/05,軽乗用×軽乗用貨物,軽傷事故,米子署,車両相互,133.30636944400,35.46805277780
全事故,米子市西福原六丁目,2012/12/16,普通乗用×自転車,軽傷事故,米子署,車両相互,133.33686388900,35.45058611110
全事故,米子市淀江町中間,2012/12/06,軽乗用×軽乗用,軽傷事故,米子署,車両相互,133.40311666700,35.44796111110
全事故,米子市角盤町二丁目,2012/12/16,普通乗用×歩行者,軽傷事故,米子署,人対車両,133.33219444400,35.43310277780
全事故,米子市淀江町佐陀,2012/11/25,軽乗用貨物×普通乗用,軽傷事故,米子署,車両相互,133.39300555600,35.43826944440
全事故,米子市尾高,2012/12/17,中型貨物×軽乗用貨物,軽傷事故,米子署,車両相互,133.41152500000,35.41879444440
全事故,米子市旗ヶ崎六丁目,2012/11/25,軽乗用×軽乗用,軽傷事故,米子署,車両相互,133.31337500000,35.43680555560
全事故,米子市西福原二丁目,2012/10/25,普通乗用×自転車,軽傷事故,米子署,車両相互,133.34270277800,35.44011111110
全事故,米子市淀江町西原,2012/11/25,軽乗用×歩行者,重傷事故,米子署,人対車両,133.41806666700,35.45303333330
全事故,米子市東福原一丁目,2012/11/01,普通乗用×自転車,軽傷事故,米子署,車両相互,133.34296944400,35.43790000000
全事故,米子市河崎,2012/11/22,軽乗用×軽乗用×軽乗用,軽傷事故,米子署,車両相互,133.31205555600,35.45766388890
全事故,米子市和田町,2012/09/19,軽乗用×原付,重傷事故,米子署,車両相互,133.26919444400,35.48582777780
全事故,米子市糀町一丁目,2012/12/16,軽乗用×普通乗用,軽傷事故,米子署,車両相互,133.33797777800,35.42740000000
全事故,米子市夜見町,2012/11/19,軽乗用×軽乗用,軽傷事故,米子署,車両相互,133.29988611100,35.46891111110
全事故,米子市和田町,2012/12/13,中型貨物×軽乗用,軽傷事故,米子署,車両相互,133.27767500000,35.48617222220
全事故,米子市両三柳,2012/12/07,軽乗用×普通乗用,軽傷事故,米子署,車両相互,133.32175833300,35.44952500000
全事故,米子市旗ヶ崎七丁目,2012/12/06,軽乗用×物件等×歩行者以外の道路上の人,軽傷事故,米子署,車両単独,133.30741111100,35.43799444440
全事故,米子市角盤町１丁目,2012/12/01,普通乗用×普通乗用,軽傷事故,米子署,車両相互,133.33284722200,35.43217777780
全事故,米子市大篠津町,2012/12/15,軽乗用×歩行者,死亡事故,米子署,人対車両,133.26543055600,35.49593333330
全事故,米子市和田町,2012/11/09,軽乗用貨物×軽乗用貨物,軽傷事故,米子署,車両相互,133.26201388900,35.48270555550
全事故,米子市淀江町西原,2012/11/21,軽乗用×軽乗用貨物,重傷事故,米子署,車両相互,133.42374722200,35.45599166670
全事故,米子市錦町一丁目,2012/11/22,軽乗用×普通乗用×軽乗用,軽傷事故,米子署,車両相互,133.33303333300,35.43397777780
全事故,米子市上福原,2012/11/16,普通乗用×軽乗用,軽傷事故,米子署,車両相互,133.36140277800,35.44072777780
全事故,米子市福万,2012/11/13,普通乗用×軽乗用,軽傷事故,米子署,車両相互,133.41273611100,35.40189166670
全事故,米子市河崎,2012/12/01,軽乗用貨物×普通乗用,軽傷事故,米子署,車両相互,133.31100833300,35.46299722220
全事故,米子市大篠津町,2012/11/01,普通乗用×普通乗用,軽傷事故,米子署,車両相互,133.26313611100,35.49801666670
全事故,米子市米原九丁目,2012/12/10,軽乗用×自転車,軽傷事故,米子署,車両相互,133.32761388900,35.44656388890
全事故,米子市糀町二丁目,2012/12/04,普通乗用×普通乗用,軽傷事故,米子署,車両相互,133.33769444400,35.42997777780
全事故,米子市河崎,2012/11/07,普通乗用×普通乗用,軽傷事故,米子署,車両相互,133.29961944400,35.45041388890
全事故,南部町東町,2012/12/07,普通乗用×歩行者,重傷事故,米子署,人対車両,133.33748333300,35.37820277780
全事故,米子市両三柳,2012/11/15,普通乗用×歩行者,軽傷事故,米子署,人対車両,133.33350277800,35.45710833330
全事故,米子市久米町,2012/11/30,軽乗用×自転車,軽傷事故,米子署,車両相互,133.32746388900,35.42698333330
全事故,米子市米原五丁目,2012/12/01,軽乗用貨物×軽乗用貨物,軽傷事故,米子署,車両相互,133.33151944400,35.44426388890
全事故,米子市奈喜良,2012/11/16,普通乗用×軽乗用×軽乗用,軽傷事故,米子署,車両相互,133.34172500000,35.39841111110
全事故,米子市二本木,2012/11/22,軽乗用×原付,軽傷事故,米子署,車両相互,133.38896666700,35.44215000000
全事故,米子市両三柳,2012/11/29,軽乗用×歩行者,重傷事故,米子署,人対車両,133.33293333300,35.45443888890
全事故,米子市上福原六丁目,2012/11/19,軽乗用×普通乗用,軽傷事故,米子署,車両相互,133.35764444400,35.45144722220
全事故,米子市東町,2012/11/15,普通乗用×普通乗用,軽傷事故,米子署,車両相互,133.33216388900,35.42651388890
全事故,米子市三本松二丁目,2012/11/16,軽乗用×自転車,軽傷事故,米子署,車両相互,133.32274444400,35.44105000000
全事故,米子市東福原八丁目,2012/09/15,普通乗用×自転車,軽傷事故,米子署,車両相互,133.34804166700,35.44759166670
全事故,米子市車尾五丁目,2012/06/08,普通乗用×普通乗用×普通乗用,軽傷事故,米子署,車両相互,133.36000000000,35.43238611110
全事故,米子市西福原八丁目,2012/11/26,大型貨物×原付,死亡事故,米子署,車両相互,133.34213055600,35.45502222220
全事故,米子市観音寺新町一丁目,2012/11/21,軽乗用×自転車,軽傷事故,米子署,車両相互,133.35700833300,35.42600555560
全事故,米子市観音寺新町一丁目,2012/11/03,普通乗用×自転車,軽傷事故,米子署,車両相互,133.35835000000,35.42614722220
全事故,米子市角盤町三丁目,2012/11/02,軽乗用×歩行者,重傷事故,米子署,人対車両,133.33108333300,35.43536111110
全事故,米子市長砂町,2012/11/19,軽乗用×軽乗用,軽傷事故,米子署,車両相互,133.34995000000,35.42056944440
全事故,米子市和田町,2012/11/10,普通乗用×軽乗用,軽傷事故,米子署,車両相互,133.27774722200,35.48607500000
全事故,米子市米原五丁目,2012/11/14,普通乗用×軽乗用,軽傷事故,米子署,車両相互,133.32837500000,35.44595555560
全事故,米子市彦名町,2012/10/29,普通乗用×軽乗用,軽傷事故,米子署,車両相互,133.29869166700,35.44246388890
全事故,米子市久米町,2012/10/16,普通乗用×普通乗用,軽傷事故,米子署,車両相互,133.32678888900,35.42537500000
全事故,米子市車尾六丁目,2012/10/30,軽乗用貨物×軽乗用,軽傷事故,米子署,車両相互,133.36196666700,35.43186388890
全事故,米子市冨士見町一丁目,2012/11/10,軽乗用×普通貨物,軽傷事故,米子署,車両相互,133.33745833300,35.43099444440
全事故,米子市錦海町二丁目,2012/11/01,普通乗用×軽二輪,重傷事故,米子署,車両相互,133.31982500000,35.41698611110
全事故,米子市車尾六丁目,2012/10/22,軽乗用×原付,軽傷事故,米子署,車両相互,133.36417222200,35.43022777780
全事故,米子市両三柳,2012/10/26,軽乗用×普通乗用,軽傷事故,米子署,車両相互,133.31660000000,35.46210555560
全事故,米子市米原六丁目,2012/11/05,普通乗用×歩行者,軽傷事故,米子署,人対車両,133.33458055600,35.44295833330
全事故,米子市内町,2012/10/21,軽乗用×軽乗用,軽傷事故,米子署,車両相互,133.32319722200,35.43280555560
全事故,米子市目久美町,2012/10/22,普通乗用×軽乗用,軽傷事故,米子署,車両相互,133.34074722200,35.41912500000
全事故,米子市西福原一丁目,2012/10/02,普通乗用×自転車,重傷事故,米子署,車両相互,133.33787222200,35.44084722220
全事故,米子市明治町,2012/09/13,軽乗用貨物×自転車,軽傷事故,米子署,車両相互,133.33546111100,35.42369166670
全事故,日吉津村大字日吉津,2012/07/29,軽乗用×軽乗用,重傷事故,米子署,車両相互,133.38513055600,35.44485000000
全事故,米子市夜見町,2012/10/09,軽乗用×自転車,軽傷事故,米子署,車両相互,133.29913888900,35.46930555560
全事故,米子市大篠津町,2012/09/28,軽乗用貨物×原付,軽傷事故,米子署,車両相互,133.30053055600,35.46207222220
全事故,米子市彦名町,2012/10/19,軽乗用×自転車,軽傷事故,米子署,車両相互,133.29735833300,35.44991944440
全事故,米子市彦名町,2012/10/08,大乗用×自転車,重傷事故,米子署,車両相互,133.29871944400,35.44358055560
全事故,米子市宗像,2012/10/13,普通乗用×軽乗用,軽傷事故,米子署,車両相互,133.35711666700,35.41171944440
全事故,米子市上後藤四丁目,2012/10/22,普通貨物×原付,重傷事故,米子署,車両相互,133.31836944400,35.44585277780
全事故,米子市皆生三丁目,2012/10/06,軽乗用貨物×普通乗用,軽傷事故,米子署,車両相互,133.36465833300,35.44896111110
全事故,南部町倭,2012/09/18,自転車×軽乗用,重傷事故,米子署,車両相互,133.32692777800,35.34957500000
全事故,米子市上福原三丁目,2012/10/06,普通乗用×自転車,軽傷事故,米子署,車両相互,133.35029722200,35.44451944440
全事故,米子市車尾三丁目,2012/10/13,普通乗用×歩行者,軽傷事故,米子署,人対車両,133.35928888900,35.43471666670
全事故,米子市西福原六丁目,2012/10/15,普通貨物×歩行者,軽傷事故,米子署,人対車両,133.34252777800,35.44787222220
全事故,米子市東福原三丁目,2012/10/17,普通乗用×軽乗用,軽傷事故,米子署,車両相互,133.34456388900,35.44147777780
全事故,米子市大崎,2012/10/02,大乗用×歩行者,軽傷事故,米子署,人対車両,133.26083333300,35.47299166670
全事故,米子市両三柳,2012/10/04,普通乗用×物件等×道路外の人,軽傷事故,米子署,車両単独,133.33178611100,35.45045000000
全事故,米子市旗ヶ崎五丁目,2012/09/04,普通貨物×軽乗用,軽傷事故,米子署,車両相互,133.31069444400,35.44213055560
全事故,米子市陽田町,2012/09/30,軽乗用×普通乗用,軽傷事故,米子署,車両相互,133.34680833300,35.42551666670
全事故,米子市陰田町,2012/09/12,軽乗用×普通乗用,軽傷事故,米子署,車両相互,133.32163055600,35.41367500000
全事故,米子市両三柳,2012/08/12,軽乗用×二輪401ｃｃ-750ｃｃ,軽傷事故,米子署,車両相互,133.33361388900,35.45709166670
全事故,米子市淀江町佐陀,2012/10/01,普通乗用×普通乗用,軽傷事故,米子署,車両相互,133.39396944400,35.44488611110
全事故,米子市新開四丁目,2012/10/12,原付×二輪751ｃｃ以上,重傷事故,米子署,車両相互,133.34040277800,35.45983888890
全事故,米子市夜見町,2012/09/27,軽乗用×普通乗用,軽傷事故,米子署,車両相互,133.29870555600,35.47437777780
全事故,米子市東福原六丁目,2012/10/01,軽乗用×普通乗用,軽傷事故,米子署,車両相互,133.34762500000,35.44618333330
全事故,米子市流通町,2012/10/09,普通乗用×軽乗用,軽傷事故,米子署,車両相互,133.39740000000,35.42823888890
全事故,米子市東福原六丁目,2012/09/17,軽乗用貨物×歩行者,重傷事故,米子署,人対車両,133.34443333300,35.44723055560
全事故,米子市夜見町,2012/10/07,軽乗用×普通乗用,軽傷事故,米子署,車両相互,133.30680277800,35.46879166670
全事故,米子市角盤町三丁目,2012/09/28,普通乗用×軽乗用貨物,軽傷事故,米子署,車両相互,133.32964444400,35.43655555560
全事故,米子市西福原六丁目,2012/09/12,軽乗用×自転車,重傷事故,米子署,車両相互,133.34312222200,35.44876944440
全事故,米子市西福原九丁目,2012/08/31,普通乗用×普通乗用,軽傷事故,米子署,車両相互,133.33689166700,35.45068333330
全事故,南部町東町,2012/09/16,普通乗用×普通乗用,軽傷事故,米子署,車両相互,133.33783333300,35.37880277780
全事故,米子市皆生六丁目,2012/09/13,軽乗用×軽乗用貨物,軽傷事故,米子署,車両相互,133.35804444400,35.45168888890
全事故,米子市祇園町二丁目,2012/09/27,普通乗用×軽乗用,軽傷事故,米子署,車両相互,133.32488888900,35.41738888890
全事故,米子市観音寺新町五丁目,2012/08/12,軽乗用×普通乗用,軽傷事故,米子署,車両相互,133.36063888900,35.42147777780
全事故,日吉津村大字日吉津,2012/09/19,軽乗用×普通乗用,軽傷事故,米子署,車両相互,133.38609444400,35.44462500000
全事故,米子市尾高,2012/09/20,軽乗用貨物×軽乗用貨物,軽傷事故,米子署,車両相互,133.40636388900,35.42480277780
全事故,米子市久米町,2012/09/24,軽乗用貨物×軽乗用,軽傷事故,米子署,車両相互,133.32651666700,35.42502500000
全事故,米子市両三柳,2012/09/08,軽乗用×普通貨物,軽傷事故,米子署,車両相互,133.31911944400,35.45671388890
全事故,米子市河崎,2012/08/23,普通乗用×自転車,軽傷事故,米子署,車両相互,133.30607500000,35.46218055560
全事故,米子市明治町,2012/09/23,軽乗用×軽乗用,軽傷事故,米子署,車両相互,133.33521388900,35.42388888890
全事故,米子市東福原六丁目,2012/09/09,軽乗用×自転車,軽傷事故,米子署,車両相互,133.34784722200,35.44613333330
全事故,米子市道笑町四丁目,2012/09/19,普通乗用×歩行者,軽傷事故,米子署,人対車両,133.34533611100,35.42435277780
全事故,米子市昭和町,2012/09/12,軽乗用×普通乗用,軽傷事故,米子署,車両相互,133.34241666700,35.42639444440
全事故,南部町阿賀,2012/09/07,軽乗用×普通乗用,軽傷事故,米子署,車両相互,133.32938888900,35.35651944440
全事故,米子市淀江町西原,2012/08/04,軽乗用×軽乗用貨物,重傷事故,米子署,車両相互,133.42524722200,35.45818333330
全事故,米子市米原九丁目,2012/08/17,普通乗用×軽乗用,軽傷事故,米子署,車両相互,133.32911388900,35.44666111110
全事故,米子市二本木,2012/08/30,普通乗用×普通乗用,軽傷事故,米子署,車両相互,133.38946388900,35.44243611110
全事故,米子市上福原五丁目,2012/08/28,軽乗用貨物×普通乗用,軽傷事故,米子署,車両相互,133.35638888900,35.45049444440
全事故,米子市淀江町中間,2012/08/25,軽乗用貨物×普通乗用,軽傷事故,米子署,車両相互,133.40272500000,35.44788055560
全事故,米子市糀町一丁目,2012/08/23,普通乗用×軽乗用,軽傷事故,米子署,車両相互,133.33795555600,35.42730000000
全事故,米子市和田町,2012/09/13,普通乗用×軽乗用,軽傷事故,米子署,車両相互,133.26930000000,35.48902500000
